model,MAE,RMSE,MAPE,WAPE,N
ensemble,18860.421928534666,29257.837366664666,0.015778062225304094,0.015715336390569018,361
gam,19752.148259850277,29799.065818441828,0.016749845967422905,0.016458362146729372,361
catboost,23016.58029900754,34808.33967577322,0.018841687707854694,0.019178431072753306,361
linreg,52675.624328453596,64813.32835928276,0.04588321690753726,0.043891656244044876,361
arimax,69379.39004305287,91776.55492057155,0.0624560461930168,0.05780997144340033,361
